Flavor,A1,A2
Slightly-Spicy,-0.317047574,3.582611749
Pine,-0.576990373,2.620967475
Woody,-0.559004914,1.733656793
Sulfurous,1.429767129,-0.67187772
Nutty,0.713118334,-1.400427414
Balsamic,-0.144337567,-0.144337567
Vanilla,-0.254624675,-0.254624675
Rancid,-0.295525991,-0.295525991
Mushroom,-0.358727606,-0.358727606
Fishy,-0.428203607,-0.428203607
Buttery,-0.57518125,1.467184623
Warm-Spicy,-0.409449778,1.287310982
Citrus,-0.734052047,1.079485202
Fatty,-0.32571662,1.041552475
Herbal,-0.650757494,0.997576682
Earthy,-0.560891366,0.808400714
Creamy,-0.660333518,0.226546999
Sour,-0.761103683,0.149390084
Floral,-0.888479551,0.098920538
Sweet,0.417878208,-0.010306072
Fresh,-0.691397056,-0.014667987
Pungent,-1.119441715,-0.034324818
Savory,0.937953579,-0.460236458
Malty,1.262305557,-0.583339719
Meaty,0.340411365,-0.731611011
Green,0.528281017,-1.02475514
Fruity,0.349403663,-1.060295781
Caramel,0.652346249,-1.086285866
Roasted,0.64048554,-1.123403385