대륙,국가,제조사,제품명(국문),Flavor 검출수,원재료
아시아,한국,농심,감자깡,14,"소맥분, 감자, 옥수수전분, 미강유, 팜유, 비프맛베이스조미분말, 바베큐맛조미분말, 양파"
아시아,한국,농심,꿀꽈배기,13,"소맥분, 정백당, 미강유, 옥수수전분, 혼합제제[타피오카산화전분, 말토덱스트린], 팜유, 알파옥수수전분, 고소미조미분말, 아카시아꿀, 발효사과농축액, 감초농축액, 현미조청, 정제염, 합성향료"
아시아,태국,펩시코,레이즈 구운새우와 해산물소스,15,"감자, 식물성유지, 시즈닝[향미증진제, MSG], 말토덱스트린, 산도조절제, 고결방지제, 천연색소, 천연향료"
아시아,태국,펩시코,레이즈 맥스 칠리,15,"감자, 식물성유지, 시즈닝, 튀긴칠리[말토덱스트린, 향미증진제, MSG], 고결방지제, 산도조절제, 천연색소, 산화방지제, 인공향료"
아시아,태국,펩시코,레이즈 미엥캄 향신료맛,14,"감자, 식물성유지, 시즈닝[말토덱스트린, 향미증진제, MSG], 산도조절제, 아스파탐, 고결방지제, 천연색소, 천연향료"
아메리카,미국,펩시코,레이즈 소금 & 식초,13,"감자, 천연향료(식초향), 정제소금, 식초"
유럽,네덜란드,펩시코,레이즈 요피맛,18,"감자, 해바라기유, 채종유, 요피맛시즈닝(설탕, 겨자향료, 염화칼륨, 요피분말, 설탕, 파프리카, 소금, 마늘분말, 향신료, 시어너트오일, 후추)"
아시아,인도,펩시코,레이즈 인도매직마살라,20,"감자,고올레산해바라기유, 시즈닝(Spices&Condiments, 정제소금, 말토덱스트린, 검정소금, 설탕, 토마토분말, 산도조절제, 천연향료, 산화방지제, 색소)"
아메리카,미국,펩시코,레이즈 클래식,12,"감자, 해바라기유, 옥수수유, 카놀라유, 대두유, 정제소금"
유럽,독일,로렌즈,로렌즈 로즈마리,17,"함성향료[바나나향, 분말바나나향, 바나나컴파운드향], 정제염, 난백분, 강황분말"
아시아,한국,농심,매운새우깡,15,"소맥분, 옥수수전분, 새우, 맛베이스조미분말, 타피오카산화전분, 말토덱스트린, 미강유, 팜유, 매운맛시즈닝, 매콤한풍미유"
아시아,한국,농심,먹태깡 청양마요맛,20,"소맥분, 타피오카산화전분, 말토덱스트린, 옥수수전분, 북어엑기스, 정백당, 청양마요소스맛시즈닝, 마요네즈맛분말, 구운북어채분말, 청양초시즈닝분말, 미강유, 팜유, 합성향료"
아시아,한국,오리온,무뚝뚝감자칩 통후추소금맛,20,"감자, 팜올레인유, 채종유, 페퍼솔트시즈닝[후추, 정제소금]"
아시아,한국,농심,바나나킥,13,"옥수수, 정백당, 미강유, 바나나분말, 팜유, 탈지분유, 함성향료[바나나향, 분말바나나향, 바나나컴파운드향], 정제염, 난백분, 강황분말"
아시아,한국,농심,빵부장 라즈베리맛,14,"옥수수, 정백당, 팜유, 유청분말, 탈지분유, 레시틴, 빵가루, 효모, 정제염, 대두분, 유화제, 소맥분, 가공버터, 미강유, 생크림케익페이스트, 전지분유, 라즈베리향시즈닝, 라즈베리농축액, 빵베이스혼합분, 프로필렌글리콜, 주정, 정제수, 향료, 글리세린, 구연산, 시놀레인산에스테르, 카민, 덱스트린, 파프리카추출색소, 비타민E, 가공유지, 베타카로틴, 미강유, 카카오색소, 안나토색소, 탄산나트륨"
아시아,한국,농심,빵부장 소금빵,11,"옥수수, 정백당, 소맥분, 효모, 정제염, 대두분, 유화제, 팜유, 미강유, 가공버터, 전지분유, 이즈니버터, 빵베이스혼합분[결정셀룰로오스, 설탕, 버터향, 정제소금, 농축버터버드, 게랑드소금, 정제염, 글리세린지방에스테르, 미강유, 정제수, 카카오색소, 안나토색소, 비타민E, 탄산나트륨, 가공유지, 파프리카추출색소, 베타카로틴, 향료, 올레오레진로즈마리"
아시아,한국,농심,새우깡,14,"소맥분, 옥수수전분, 새우, 맛베이스조미분말, 타피오카산화전분, 말토덱스트린, 미강유, 팜유, 새우풍미유, 염미시즈닝"
아시아,한국,농심,수미칩 오리지널,8,"감자, 미강유, 팜유, 조미염분말"
오세아니아,호주,스미스,스미스 소금 & 식초,14,"감자, 카놀라유, 해바라기유, 향료, 말토덱스트린, 젖산, 정제소금, 이초산나트륨, 구연산, 설탕, 소금, 향미증진제, 덱스트로스, 농축유청단백질분말, 폴리덱스트로스, 산화방지제(토코페롤, 비타민C, 로즈마리추출물)"
유럽,이탈리아,아미카칩스,아미카 알프레도 오리지널러플,14,"감자, 고올레산해바라기유, 정제소금"
유럽,이탈리아,아미카칩스,아미카 엘도라다,16,"감자, 고올레산해바라기유, 정제소금"
아시아,한국,농심,알새우칩,13,"타피오카분말, 새우살, 소맥분, 정백당, 계란, 미강유, 팜유, 새우맛시즈닝"
아시아,한국,농심,양파깡,14,"소맥분, 양파, 미강유, 옥수수전분, 팜유, 매콤한불고기맛조미분말[구운양파베이컨맛조미분], 양파맛조미분, 양파후레버, 사워크림앤어니언시즈닝"
아시아,한국,농심,양파링,14,"소맥분, 옥수수전분, 미강유, 변성전분, 팜유, 양파맛베이스, 정백당, 분말셀룰로오스, 정제염, 화이버졸, 양파추출물분말, 비타민B2, 양파농축액, 양파베이컨맛시즈닝, 감자분말"
아시아,한국,오리온,예감 치즈그라탕맛,14,"감자분말, 팜올레인유, 팜스테아린에스테르화유, 백설탕, 치즈그라탕시즈닝, 알파옥수수분말, 감자맛분말, 유단백혼합분말, 산도조절제, 찐감자맛분말, 유미분, 전지분유, 식염, 치즈분말, 젖산분말, 효소제"
유럽,영국,워커스,워커스 레디 솔트,8,"감자, 해바라기유, 채종유, 정제소금, 산화방지제(로즈마리 추출물, 비타민C, 토코페롤 추출물, 구연산)"
유럽,영국,워커스,워커스 새우,16,"감자, 해바라기유, 채종유, 정제소금, 새우시즈닝(향료, 설탕, 소금, 구연산, 사과산, 덱스트로스, 건조효모, 염화칼륨, 건조양파, 토마토분말, 효모추출물, 색소[파프리카추출물],감미료[수크랄로스), 효모추출물), 산화방지제(로즈마리 추출물, 비타민C, 토코페롤 추출물, 구연산)"
유럽,영국,워커스,워커스 소금 식초,10,"감자, 해바라기유, 채종유, 정제소금, 식초시즈닝(향료, 소금, 구연산, 사과산), 효모추출물), 산화방지제(로즈마리 추출물, 비타민C, 토코페롤 추출물, 구연산)"
유럽,영국,워커스,워커스 치즈 양파,13,"감자, 해바라기유, 채종유, 정제소금,  치즈양파시즈닝(건조양파, 소금, 유청분말, 젖산, 설탕, 향료, 치즈분말, 건조효모, 구연산, 사과산, 유청단백분말, 건조마늘, 색소[annatto bixin, 파프리카추출물]), 산화방지제(로즈마리 추출물, 비타민C, 토코페롤 추출물, 구연산)"
아시아,한국,농심,인디안밥,13,"옥수수, 정제염, 효소처리스테비아, 구연산, 미강유, 팜유, 스위트콘시즈닝"
아시아,한국,농심,조청유과,14,"쌀가루, 미강유, 정백당, 팜유, 소맥전분, 찰옥수수전분, 알파옥수수전분, 프락토올리고당, 정백당, 스위트조미분말, 현미조청, 소맥분, 참깨, 정제염"
유럽,독일,치오,치오 토릴라 나초치즈,23,"옥수수분말, 해바라기유, 채종유, 전분, 천연향료, 유청단백분말, 소금, 치즈분말, 효모추출물, 양파분말, 마늘분말, 유화제, 향신료"
유럽,독일,치오,치오 팝칩 파프리카,23,"감자분말, 감자전분, 쌀가루, 채종유, 설탕, 소금, 파프리카분말, 사워크림분말, 유청분말, 건조고추, 칠리분말, 효모추출물, 양파분말, 토마토분말, 포도당시럽, 마늘분말, 향신료, 말토덱스트린, 천연향료, 유화제, 파프리카추출물색소, 구연산"
유럽,네덜란드,크로키,크로키 감자칩 파프리카,13,"감자분말, 감자전분, 쌀가루, 해바라기유, 소금, 파프리카향신료, 덱스트로스, 설탕, 옥수수가루, 향미증진제, 염화칼륨, 향료, 산도조절제, 구연산, 사과산, 감미료[스테비올배당체], 스모크향"
아메리카,멕시코,바르셀,타키스 케틀즈 푸에고,20,"감자, 식물성유지[팜유, 카놀라유, 콩기름], 시즈닝[말토덱스트린, 소금, 구연산, MSG, 천연 및 인공 향료, 양파분말, 중탄산나트륨, 착색료, 가수분해대두단백질, 칠리페퍼추출물, 이노신산이나트륨, 글루탐산이나트륨, 산화방지제"
아메리카,멕시코,바르셀,타키스 케틀즈 하바네로 퓨리,22,"감자, 식물성유지[팜유, 카놀라유, 콩기름], 시즈닝[말토덱스트린, 소금, 구연산, MSG, 천연 및 인공 향료, 염화칼륨, 설탕, 덱스트로스, 규산칼슘, 옥수수전분, 착색료"
유럽,스페인,토레스,토레스 셀렉타 블랙트러플,12,"감자, 해바라기유, 정제소금, 건조송로버섯, 천연향료[블랙트러플향]"
유럽,스페인,트릴라,트릴라 칩스,17,"옥수수, 팜유, 정제소금"
아메리카,칠레,티카,티카 칩스 파타고니아,17,"고구마, 감자, 해바라기유, 고올레산해바라기유, 비트루트주스, 천일염"
아시아,한국,농심,포스틱,12,"소맥분, 감자, 옥수수전분, 타피오카산화전분, 말토덱스트린, 미강유, 팜유, 감자맛조미분말, 정제염, 젖산칼슘, 메티오닌, 효소처리스테비아, 양파, 감자비트맛시즈닝"
아시아,한국,오리온,포카칩 오리지널,11,"감자, 팜올레인유, 해바라기유, 정제소금 "
아시아,한국,농심,포테토칩 고추장마요맛,13,"감자, 카놀라유, 팜유, 먹태고추장마요맛시즈닝"
아시아,한국,농심,포테토칩 먹태청양마요맛,15,"감자, 카놀라유, 팜유, 먹태청양마요맛시즈닝"
아시아,한국,농심,포테토칩 오리지널,11,"감자, 미강유, 팜유, 조미염분말"
아시아,한국,농심,포테토칩 트리플치즈,18,"감자, 미강유, 팜유, 트리플치즈맛시즈닝"
아메리카,미국,캘라노바,프링글스 사워크림 & 어니언,14,"감자, 식물성유지, 옥수수가루, 밀전분, 사워크림어니언시즈닝(정제소금, 유청, 향미증진제:L-글루탐산나트륨, 포도당, 양파분말, 말토덱스트린, 설탕, 향료2종, 식물성유지, 탈지분유, 사워크림분말, 구연산, 젖산, 발효유, 향미증진제2, 사과산, 효모추출물, 이산화규소, 제삼인산칼슘), 유화제, 말토덱스트린, 구연산"
아메리카,미국,캘라노바,프링글스 오리지널,11,"감자, 식물성유지, 옥수수가루, 밀전분, 유화제, 말토덱스트린, 정제소금, 구연산"
아시아,한국,해태,허니버터칩,14,"감자, 팜올레인유, 해바라기유, 허니버터맛시즈닝[백설탕, 정제소금, 탈지분유, 버터혼합분말, 효모추출물, 천연향신료], 아카시아꿀분말, 고메버터 "
아시아,아랍에미리트,헌터스,헌터스 블랙트러플 포테이토칩,19,"감자, 해바라기유, 검은서양송로시즈닝(말토덱스트린, 정제소금, 설탕, 천연향료[검은서양송로향], 합성향료[검은서양송로향])"